timestamp,kWh
2024-09-01 00:00:00,11.021
2024-09-01 01:00:00,12.3
2024-09-01 02:00:00,11.668
2024-09-01 03:00:00,12.107
2024-09-01 04:00:00,11.27
2024-09-01 05:00:00,12.397
2024-09-01 06:00:00,10.901
2024-09-01 07:00:00,10.104
2024-09-01 08:00:00,12.624
2024-09-01 09:00:00,15.107
2024-09-01 10:00:00,15.104
2024-09-01 11:00:00,15.049
2024-09-01 12:00:00,13.057
2024-09-01 13:00:00,13.593
2024-09-01 14:00:00,12.62
2024-09-01 15:00:00,12.877
2024-09-01 16:00:00,14.512
2024-09-01 17:00:00,14.807
2024-09-01 18:00:00,13.229
2024-09-01 19:00:00,14.676
2024-09-01 20:00:00,14.191
2024-09-01 21:00:00,12.44
2024-09-01 22:00:00,13.079
2024-09-01 23:00:00,12.248
2024-09-02 00:00:00,11.127
2024-09-02 01:00:00,11.523
2024-09-02 02:00:00,11.103
2024-09-02 03:00:00,12.195
2024-09-02 04:00:00,11.6
2024-09-02 05:00:00,11.567
2024-09-02 06:00:00,11.557
2024-09-02 07:00:00,10.292
2024-09-02 08:00:00,14.44
2024-09-02 09:00:00,13.156
2024-09-02 10:00:00,13.551
2024-09-02 11:00:00,14.632
2024-09-02 12:00:00,15.177
2024-09-02 13:00:00,14.056
2024-09-02 14:00:00,12.646
2024-09-02 15:00:00,15.237
2024-09-02 16:00:00,13.574
2024-09-02 17:00:00,13.254
2024-09-02 18:00:00,13.436
2024-09-02 19:00:00,16.304
2024-09-02 20:00:00,15.619
2024-09-02 21:00:00,13.198
2024-09-02 22:00:00,10.896
2024-09-02 23:00:00,12.262
2024-09-03 00:00:00,11.203
2024-09-03 01:00:00,11.595
2024-09-03 02:00:00,11.207
2024-09-03 03:00:00,12.013
2024-09-03 04:00:00,13.036
2024-09-03 05:00:00,13.343
2024-09-03 06:00:00,12.395
2024-09-03 07:00:00,11.865
2024-09-03 08:00:00,14.314
2024-09-03 09:00:00,13.853
2024-09-03 10:00:00,13.005
2024-09-03 11:00:00,13.672
2024-09-03 12:00:00,14.42
2024-09-03 13:00:00,16.063
2024-09-03 14:00:00,13.893
2024-09-03 15:00:00,13.977
2024-09-03 16:00:00,15.078
2024-09-03 17:00:00,14.155
2024-09-03 18:00:00,14.893
2024-09-03 19:00:00,13.585
2024-09-03 20:00:00,14.962
2024-09-03 21:00:00,11.126
2024-09-03 22:00:00,10.806
2024-09-03 23:00:00,11.859
2024-09-04 00:00:00,12.628
2024-09-04 01:00:00,12.449
2024-09-04 02:00:00,10.735
2024-09-04 03:00:00,12.397
2024-09-04 04:00:00,11.377
2024-09-04 05:00:00,11.5
2024-09-04 06:00:00,10.673
2024-09-04 07:00:00,12.787
2024-09-04 08:00:00,14.285
2024-09-04 09:00:00,12.813
2024-09-04 10:00:00,14.242
2024-09-04 11:00:00,13.491
2024-09-04 12:00:00,14.481
2024-09-04 13:00:00,14.289
2024-09-04 14:00:00,14.318
2024-09-04 15:00:00,14.023
2024-09-04 16:00:00,14.588
2024-09-04 17:00:00,14.678
2024-09-04 18:00:00,14.739
2024-09-04 19:00:00,13.153
2024-09-04 20:00:00,14.572
2024-09-04 21:00:00,12.378
2024-09-04 22:00:00,12.646
2024-09-04 23:00:00,12.133
2024-09-05 00:00:00,12.575
2024-09-05 01:00:00,11.769
2024-09-05 02:00:00,12.157
2024-09-05 03:00:00,11.298
2024-09-05 04:00:00,12.604
2024-09-05 05:00:00,11.928
2024-09-05 06:00:00,12.887
2024-09-05 07:00:00,12.377
2024-09-05 08:00:00,12.26
2024-09-05 09:00:00,13.278
2024-09-05 10:00:00,12.906
2024-09-05 11:00:00,14.288
2024-09-05 12:00:00,14.111
2024-09-05 13:00:00,15.912
2024-09-05 14:00:00,14.069
2024-09-05 15:00:00,13.808
2024-09-05 16:00:00,12.565
2024-09-05 17:00:00,15.727
2024-09-05 18:00:00,14.302
2024-09-05 19:00:00,12.712
2024-09-05 20:00:00,15.015
2024-09-05 21:00:00,11.779
2024-09-05 22:00:00,12.6
2024-09-05 23:00:00,12.676
2024-09-06 00:00:00,13.887
2024-09-06 01:00:00,12.838
2024-09-06 02:00:00,12.162
2024-09-06 03:00:00,13.547
2024-09-06 04:00:00,11.732
2024-09-06 05:00:00,12.139
2024-09-06 06:00:00,11.89
2024-09-06 07:00:00,12.023
2024-09-06 08:00:00,14.284
2024-09-06 09:00:00,13.233
2024-09-06 10:00:00,13.777
2024-09-06 11:00:00,13.056
2024-09-06 12:00:00,13.522
2024-09-06 13:00:00,13.59
2024-09-06 14:00:00,14.922
2024-09-06 15:00:00,13.514
2024-09-06 16:00:00,12.519
2024-09-06 17:00:00,13.802
2024-09-06 18:00:00,14.125
2024-09-06 19:00:00,13.424
2024-09-06 20:00:00,14.291
2024-09-06 21:00:00,12.589
2024-09-06 22:00:00,12.844
2024-09-06 23:00:00,10.5
2024-09-07 00:00:00,10.777
2024-09-07 01:00:00,11.789
2024-09-07 02:00:00,11.998
2024-09-07 03:00:00,12.698
2024-09-07 04:00:00,13.07
2024-09-07 05:00:00,11.009
2024-09-07 06:00:00,10.779
2024-09-07 07:00:00,11.642
2024-09-07 08:00:00,12.899
2024-09-07 09:00:00,14.656
2024-09-07 10:00:00,14.847
2024-09-07 11:00:00,13.813
2024-09-07 12:00:00,13.591
2024-09-07 13:00:00,13.658
2024-09-07 14:00:00,15.43
2024-09-07 15:00:00,16.189
2024-09-07 16:00:00,13.795
2024-09-07 17:00:00,14.283
2024-09-07 18:00:00,13.286
2024-09-07 19:00:00,12.968
2024-09-07 20:00:00,13.588
2024-09-07 21:00:00,11.652
2024-09-07 22:00:00,10.508
2024-09-07 23:00:00,11.482
2024-09-08 00:00:00,12.859
2024-09-08 01:00:00,11.436
2024-09-08 02:00:00,10.405
2024-09-08 03:00:00,12.078
2024-09-08 04:00:00,12.304
2024-09-08 05:00:00,13.07
2024-09-08 06:00:00,13.106
2024-09-08 07:00:00,10.873
2024-09-08 08:00:00,14.555
2024-09-08 09:00:00,13.168
2024-09-08 10:00:00,13.74
2024-09-08 11:00:00,15.466
2024-09-08 12:00:00,14.234
2024-09-08 13:00:00,14.424
2024-09-08 14:00:00,12.245
2024-09-08 15:00:00,13.959
2024-09-08 16:00:00,12.971
2024-09-08 17:00:00,13.98
2024-09-08 18:00:00,14.323
2024-09-08 19:00:00,14.214
2024-09-08 20:00:00,13.149
2024-09-08 21:00:00,11.528
2024-09-08 22:00:00,12.712
2024-09-08 23:00:00,12.155
2024-09-09 00:00:00,11.422
2024-09-09 01:00:00,10.738
2024-09-09 02:00:00,11.373
2024-09-09 03:00:00,11.786
2024-09-09 04:00:00,13.239
2024-09-09 05:00:00,11.333
2024-09-09 06:00:00,10.589
2024-09-09 07:00:00,11.307
2024-09-09 08:00:00,12.961
2024-09-09 09:00:00,14.138
2024-09-09 10:00:00,14.363
2024-09-09 11:00:00,14.313
2024-09-09 12:00:00,14.011
2024-09-09 13:00:00,13.679
2024-09-09 14:00:00,12.773
2024-09-09 15:00:00,15.36
2024-09-09 16:00:00,13.048
2024-09-09 17:00:00,13.242
2024-09-09 18:00:00,13.076
2024-09-09 19:00:00,16.675
2024-09-09 20:00:00,13.274
2024-09-09 21:00:00,11.998
2024-09-09 22:00:00,11.345
2024-09-09 23:00:00,11.52
2024-09-10 00:00:00,11.096
2024-09-10 01:00:00,11.85
2024-09-10 02:00:00,13.257
2024-09-10 03:00:00,13.1
2024-09-10 04:00:00,11.854
2024-09-10 05:00:00,12.588
2024-09-10 06:00:00,12.627
2024-09-10 07:00:00,12.056
2024-09-10 08:00:00,14.672
2024-09-10 09:00:00,13.981
2024-09-10 10:00:00,12.927
2024-09-10 11:00:00,13.656
2024-09-10 12:00:00,15.19
2024-09-10 13:00:00,13.615
2024-09-10 14:00:00,13.243
2024-09-10 15:00:00,14.238
2024-09-10 16:00:00,14.506
2024-09-10 17:00:00,12.78
2024-09-10 18:00:00,13.452
2024-09-10 19:00:00,14.306
2024-09-10 20:00:00,13.422
2024-09-10 21:00:00,11.236
2024-09-10 22:00:00,12.981
2024-09-10 23:00:00,12.132
2024-09-11 00:00:00,12.523
2024-09-11 01:00:00,10.766
2024-09-11 02:00:00,11.184
