timestamp,kWh,Building
2024-09-01 00:00:00,9.456,Admin
2024-09-01 00:00:00,8.582,Hostel
2024-09-01 00:00:00,11.021,Lab
2024-09-01 00:00:00,7.248,Library
2024-09-01 00:00:00,3.238,Sports
2024-09-01 01:00:00,12.3,Lab
2024-09-01 01:00:00,6.21,Library
2024-09-01 01:00:00,9.057,Hostel
2024-09-01 01:00:00,10.624,Admin
2024-09-01 01:00:00,2.553,Sports
2024-09-01 02:00:00,5.067,Library
2024-09-01 02:00:00,8.937,Admin
2024-09-01 02:00:00,11.668,Lab
2024-09-01 02:00:00,7.623,Hostel
2024-09-01 02:00:00,3.693,Sports
2024-09-01 03:00:00,6.93,Hostel
2024-09-01 03:00:00,5.023,Library
2024-09-01 03:00:00,12.107,Lab
2024-09-01 03:00:00,9.009,Admin
2024-09-01 03:00:00,4.508,Sports
2024-09-01 04:00:00,6.498,Library
2024-09-01 04:00:00,11.27,Lab
2024-09-01 04:00:00,4.17,Sports
2024-09-01 04:00:00,9.496,Admin
2024-09-01 04:00:00,6.917,Hostel
2024-09-01 05:00:00,8.745,Hostel
2024-09-01 05:00:00,4.461,Sports
2024-09-01 05:00:00,10.505,Admin
2024-09-01 05:00:00,12.397,Lab
2024-09-01 06:00:00,5.594,Library
2024-09-01 06:00:00,9.535,Admin
2024-09-01 06:00:00,10.901,Lab
2024-09-01 06:00:00,9.363,Hostel
2024-09-01 06:00:00,3.82,Sports
2024-09-01 07:00:00,10.104,Lab
2024-09-01 07:00:00,6.406,Library
2024-09-01 07:00:00,6.237,Hostel
2024-09-01 07:00:00,3.867,Sports
2024-09-01 07:00:00,9.561,Admin
2024-09-01 08:00:00,7.285,Library
2024-09-01 08:00:00,12.624,Lab
2024-09-01 08:00:00,5.5,Sports
2024-09-01 08:00:00,8.985,Hostel
2024-09-01 08:00:00,12.743,Admin
2024-09-01 09:00:00,7.252,Library
2024-09-01 09:00:00,9.184,Hostel
2024-09-01 09:00:00,6.787,Sports
2024-09-01 09:00:00,15.107,Lab
2024-09-01 09:00:00,12.67,Admin
2024-09-01 10:00:00,7.127,Sports
2024-09-01 10:00:00,10.428,Hostel
2024-09-01 10:00:00,6.179,Library
2024-09-01 10:00:00,15.104,Lab
2024-09-01 10:00:00,12.595,Admin
2024-09-01 11:00:00,15.049,Lab
2024-09-01 11:00:00,9.236,Library
2024-09-01 11:00:00,7.49,Sports
2024-09-01 11:00:00,11.259,Admin
2024-09-01 11:00:00,10.921,Hostel
2024-09-01 12:00:00,7.043,Sports
2024-09-01 12:00:00,13.057,Lab
